Fri Nov  9 19:49:56 2018 1488064960532836 : CMPCTRECIVED - compact block received from 104.248.38.208:8333
Fri Nov  9 19:49:56 2018 1488064960532836 : CMPCTBLKHASH - 0000000000000000001a3ae15da8c44383b274e9e0a921ef8fbca5a5b3095c58
Fri Nov  9 19:49:56 2018 1488064982293554 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1705_cmpctblock.txt file created
Fri Nov  9 19:49:56 2018 1488064982305716 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1705_mempoolFile.txt
Fri Nov  9 19:49:56 2018 1488065042636977 : SUCCESSCMPCT - no missing transactions for cmpctblock #1705
Fri Nov  9 19:49:56 2018 1488065045711115 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 20:03:16 2018 1488865249367038 : CMPCTRECIVED - compact block received from 162.209.4.125:8333
Fri Nov  9 20:03:16 2018 1488865249367038 : CMPCTBLKHASH - 0000000000000000000a9e097522291cd04e1e329679ce814a28d05eb329d823
Fri Nov  9 20:03:16 2018 1488865253170949 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1706_cmpctblock.txt file created
Fri Nov  9 20:03:16 2018 1488865253181023 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1706_mempoolFile.txt
Fri Nov  9 20:03:16 2018 1488865314305779 : SUCCESSCMPCT - no missing transactions for cmpctblock #1706
Fri Nov  9 20:03:16 2018 1488865318708600 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 20:24:20 2018 1490128722071383 : CMPCTRECIVED - compact block received from 104.248.38.208:8333
Fri Nov  9 20:24:20 2018 1490128722071383 : CMPCTBLKHASH - 00000000000000000007973dc1342ddc4c2362bba6071a16b1bc0e1c992016e4
Fri Nov  9 20:24:20 2018 1490128725030099 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1707_cmpctblock.txt file created
Fri Nov  9 20:24:20 2018 1490128725037126 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1707_mempoolFile.txt
Fri Nov  9 20:24:20 2018 1490128785146901 : SUCCESSCMPCT - no missing transactions for cmpctblock #1707
Fri Nov  9 20:24:20 2018 1490128789257006 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 20:43:23 2018 1491272495968156 : CMPCTRECIVED - compact block received from 104.248.38.208:8333
Fri Nov  9 20:43:23 2018 1491272495968156 : CMPCTBLKHASH - 00000000000000000013656f53232b279d12e26511b0a456d7015dc51caca1df
Fri Nov  9 20:43:23 2018 1491272504958783 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1708_cmpctblock.txt file created
Fri Nov  9 20:43:23 2018 1491272504982016 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1708_mempoolFile.txt
Fri Nov  9 20:43:23 2018 1491272578102470 : SUCCESSCMPCT - no missing transactions for cmpctblock #1708
Fri Nov  9 20:43:23 2018 1491272582272827 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 20:43:37 2018 1491286050381282 : CMPCTRECIVED - compact block received from 162.209.4.125:8333
Fri Nov  9 20:43:37 2018 1491286050381282 : CMPCTBLKHASH - 00000000000000000001dadd1893bb5c47e7b06c01ccdefe1d53e34f862c56d5
Fri Nov  9 20:43:37 2018 1491286070452366 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1709_cmpctblock.txt file created
Fri Nov  9 20:43:37 2018 1491286070466000 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1709_mempoolFile.txt
Fri Nov  9 20:43:37 2018 1491286129826707 : SUCCESSCMPCT - no missing transactions for cmpctblock #1709
Fri Nov  9 20:43:37 2018 1491286132927640 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 20:48:47 2018 1491595665756866 : CMPCTRECIVED - compact block received from 104.248.38.208:8333
Fri Nov  9 20:48:47 2018 1491595665756866 : CMPCTBLKHASH - 00000000000000000000dc32fc23d5c15e5fbe979e9e19c8e0fd14b8eef30380
Fri Nov  9 20:48:47 2018 1491595685564297 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1710_cmpctblock.txt file created
Fri Nov  9 20:48:47 2018 1491595685578264 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1710_mempoolFile.txt
Fri Nov  9 20:48:47 2018 1491595740133009 : FAILCMPCT - getblocktxn message sent for cmpctblock #1710
Fri Nov  9 20:48:47 2018 1491595740133009 : REQSENT - cmpctblock #1710 is missing 5 tx
Fri Nov  9 20:48:47 2018 1491595740133009 : REQSAVED -  /home/node012/.bitcoin/expLogFiles/1710_getblocktxn.txt file created
Fri Nov  9 20:48:52 2018 1491601609051159 : TXNFILLSUCCESS - blocktxn message recived and successfully filled missing TXN
Fri Nov  9 21:30:05 2018 1494074019745730 : CMPCTRECIVED - compact block received from 148.74.154.82:8333
Fri Nov  9 21:30:05 2018 1494074019745730 : CMPCTBLKHASH - 0000000000000000000ddc944111871b33beb6940fc291ce1f05d649bead9915
Fri Nov  9 21:30:05 2018 1494074022285950 : CMPCTSAVED - /home/node012/.bitcoin/expLogFiles/1711_cmpctblock.txt file created
Fri Nov  9 21:30:05 2018 1494074022292883 : DMPMEMPOOL --- Dumping mempool to file: /home/node012/.bitcoin/expLogFiles/1711_mempoolFile.txt
Fri Nov  9 21:30:05 2018 1494074085758686 : FAILCMPCT - getblocktxn message sent for cmpctblock #1711
